Match_ID,Season,Date,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Team1_Score,Team2_Score,Highest_Scorer,Highest_Runs,Best_Bowler,Wickets,Player_of_Match,Fours,Sixes,Extras,Weather
1,2019,4/2/2018,Eden Gardens,KKR,GT,GT,Field,KKR,178,113,Suryakumar Yadav,108,Shami,4,MS Dhoni,12,114,11,Sunny
2,2020,4/3/2018,Wankhede,PBKS,GT,PBKS,Bat,PBKS,200,187,Shubman Gill,38,Bumrah,3,Virat Kohli,14,93,8,Sunny
3,2021,4/4/2018,Arun Jaitley,LSG,GT,LSG,Bat,LSG,203,151,Suryakumar Yadav,45,Narine,2,Rohit Sharma,19,74,22,Sunny
4,2022,4/5/2018,Eden Gardens,GT,SRH,GT,Bat,GT,208,108,Shubman Gill,113,Bumrah,6,Shubman Gill,14,86,19,Sunny
5,2023,4/6/2018,Chepauk,SRH,RCB,SRH,Field,SRH,231,136,Jos Buttler,67,Bumrah,6,Rohit Sharma,17,95,15,Clear
6,2024,4/7/2018,Chepauk,KKR,GT,GT,Field,KKR,238,215,Shubman Gill,47,Bumrah,2,Shubman Gill,20,104,15,Cloudy
7,2025,4/8/2018,Narendra Modi,MI,LSG,LSG,Field,MI,146,135,MS Dhoni,123,Rabada,5,MS Dhoni,25,108,18,Clear
8,2018,4/9/2018,Narendra Modi,CSK,RCB,CSK,Field,CSK,234,146,Suryakumar Yadav,54,Chahal,2,KL Rahul,11,101,22,Cloudy
9,2019,4/10/2018,Narendra Modi,SRH,LSG,SRH,Field,LSG,203,204,Jos Buttler,79,Bumrah,3,Jos Buttler,10,107,10,Clear
10,2020,4/11/2018,Arun Jaitley,SRH,LSG,SRH,Bat,SRH,238,147,Rohit Sharma,96,Rashid Khan,2,Rohit Sharma,18,118,16,Cloudy
11,2021,4/12/2018,Chinnaswamy,CSK,SRH,CSK,Field,CSK,214,164,Jasprit Bumrah,62,Rashid Khan,5,Jasprit Bumrah,12,43,17,Cloudy
12,2022,4/13/2018,Eden Gardens,LSG,PBKS,PBKS,Bat,LSG,162,125,Jos Buttler,78,Rashid Khan,2,Jos Buttler,16,60,10,Sunny
13,2023,4/14/2018,Eden Gardens,GT,RCB,RCB,Field,GT,121,120,Virat Kohli,50,Bumrah,4,Virat Kohli,22,87,17,Sunny
14,2024,4/15/2018,Wankhede,KKR,SRH,KKR,Bat,SRH,147,190,Suryakumar Yadav,95,Chahal,1,Shubman Gill,21,117,11,Sunny
15,2025,4/16/2018,Narendra Modi,DC,GT,GT,Field,GT,209,216,Jos Buttler,90,Arshdeep,2,Jos Buttler,8,86,11,Sunny
16,2018,4/17/2018,Wankhede,MI,DC,MI,Bat,MI,167,162,Yuzvendra Chahal,108,Chahal,3,Yuzvendra Chahal,19,71,15,Sunny
17,2019,4/18/2018,Chinnaswamy,PBKS,RCB,RCB,Bat,PBKS,222,138,Shubman Gill,119,Narine,2,Yuzvendra Chahal,10,100,18,Cloudy
18,2020,4/19/2018,Wankhede,RR,RCB,RR,Bat,RR,234,117,Jos Buttler,87,Narine,1,Jos Buttler,8,81,15,Sunny
